timestamp = 2016-07-24 17:20:59.023645 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.028
timestamp = 2016-07-24 17:21:00.020694 ,xAxis = -0.688 ,yAxis = -0.708 ,zAxis = -0.064
timestamp = 2016-07-24 17:21:00.020007 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:01.018630 ,xAxis = -0.728 ,yAxis = -0.684 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:02.024361 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:21:03.021665 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:03.018709 ,xAxis = -0.716 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:04.020286 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:05.022136 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:06.023420 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:06.030328 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:07.029984 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:08.022870 ,xAxis = -0.72 ,yAxis = -0.696 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:09.022656 ,xAxis = -0.72 ,yAxis = -0.68 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:09.019398 ,xAxis = -0.728 ,yAxis = -0.68 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:10.021488 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:11.024492 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:12.022155 ,xAxis = -0.716 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:12.019344 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:21:13.020122 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:14.020501 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.048
timestamp = 2016-07-24 17:21:15.021022 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:21:15.020656 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
